ImgDim,BlockX,BlockY,Threads,Mode,Timing
2048,1,16,256,c,3.327872
2048,1,16,256,m,2.276192
2048,2,1,32,c,36.236
2048,2,1,32,m,114.302658
2048,2,1,64,c,18.580736
2048,2,1,64,m,55.856544
2048,2,1,128,c,10.790144
2048,2,1,128,m,28.006687
2048,2,1,256,c,10.52208
2048,2,1,256,m,14.584
2048,2,2,32,c,16.891136
2048,2,2,32,m,52.872478
2048,2,2,64,c,9.371264
2048,2,2,64,m,27.888897
2048,2,2,128,c,5.444768
2048,2,2,128,m,14.032192
2048,2,2,256,c,5.287808
2048,2,2,256,m,7.255872
2048,2,4,32,c,8.493344
2048,2,4,32,m,26.516832
2048,2,4,64,c,4.909184
2048,2,4,64,m,13.975904
2048,2,4,128,c,2.763136
2048,2,4,128,m,7.028736
2048,2,4,256,c,2.674464
2048,2,4,256,m,3.671072
2048,2,8,32,c,4.620256
2048,2,8,32,m,13.71296
2048,2,8,64,c,3.108768
2048,2,8,64,m,7.002784
2048,2,8,128,c,3.026592
2048,2,8,128,m,3.652128
2048,2,8,256,c,3.02768
2048,2,8,256,m,2.030944
2048,2,16,32,c,2.810048
2048,2,16,32,m,6.972192
2048,2,16,64,c,3.032096
2048,2,16,64,m,3.64208
2048,2,16,128,c,2.510304
2048,2,16,128,m,1.999424
2048,2,16,256,c,2.637472
2048,2,16,256,m,1.309024
2048,4,1,32,c,16.883776
2048,4,1,32,m,52.765408
2048,4,1,64,c,9.50832
2048,4,1,64,m,28.106913
2048,4,1,128,c,5.472096
2048,4,1,128,m,14.052128
2048,4,1,256,c,5.289888
2048,4,1,256,m,7.310976
2048,4,2,32,c,8.489632
2048,4,2,32,m,26.478559
2048,4,2,64,c,4.832512
2048,4,2,64,m,13.941152
2048,4,2,128,c,2.78352
2048,4,2,128,m,7.013024
2048,4,2,256,c,2.675232
2048,4,2,256,m,3.70096
2048,4,4,32,c,4.763872
2048,4,4,32,m,13.802368
2048,4,4,64,c,2.948576
2048,4,4,64,m,7.05264
2048,4,4,128,c,3.0272
2048,4,4,128,m,3.653408
2048,4,4,256,c,3.03408
2048,4,4,256,m,2.038432
2048,4,8,32,c,2.75104
2048,4,8,32,m,6.973728
2048,4,8,64,c,3.009632
2048,4,8,64,m,3.673728
2048,4,8,128,c,2.402656
2048,4,8,128,m,1.999616
2048,4,8,256,c,2.441312
2048,4,8,256,m,1.329888
2048,4,16,32,c,2.137152
2048,4,16,32,m,3.645664
2048,4,16,64,c,2.091296
2048,4,16,64,m,1.99968
2048,4,16,128,c,2.070464
2048,4,16,128,m,1.298208
2048,4,16,256,c,2.124128
2048,4,16,256,m,1.136288
2048,8,1,32,c,8.358176
2048,8,1,32,m,26.405088
2048,8,1,64,c,4.745728
2048,8,1,64,m,14.125728
2048,8,1,128,c,2.82864
2048,8,1,128,m,6.975296
2048,8,1,256,c,2.685856
2048,8,1,256,m,3.70704
2048,8,2,32,c,4.831232
2048,8,2,32,m,13.875712
2048,8,2,64,c,2.92384
2048,8,2,64,m,7.031072
2048,8,2,128,c,3.022912
2048,8,2,128,m,3.589472
2048,8,2,256,c,3.031712
2048,8,2,256,m,1.990752
2048,8,4,32,c,2.733504
2048,8,4,32,m,6.909664
2048,8,4,64,c,2.5424
2048,8,4,64,m,3.665504
2048,8,4,128,c,2.426176
2048,8,4,128,m,1.982304
2048,8,4,256,c,2.46608
2048,8,4,256,m,1.29872
2048,8,8,32,c,2.169696
2048,8,8,32,m,3.63472
2048,8,8,64,c,2.287968
2048,8,8,64,m,1.986464
2048,8,8,128,c,2.069536
2048,8,8,128,m,1.310336
2048,8,8,256,c,2.113152
2048,8,8,256,m,1.138752
2048,8,16,32,c,2.160384
2048,8,16,32,m,1.984928
2048,8,16,64,c,2.11024
2048,8,16,64,m,1.29152
2048,8,16,128,c,2.436576
2048,8,16,128,m,1.146816
2048,8,16,256,c,3.000096
2048,8,16,256,m,1.376896
2048,16,1,32,c,4.74496
2048,16,1,32,m,13.833664
2048,16,1,64,c,2.924064
2048,16,1,64,m,7.01392
2048,16,1,128,c,3.0312
2048,16,1,128,m,3.63584
2048,16,1,256,c,3.023456
2048,16,1,256,m,3.625056
2048,16,2,32,c,2.757696
2048,16,2,32,m,6.96
2048,16,2,64,c,2.376864
2048,16,2,64,m,3.654336
2048,16,2,128,c,2.379008
2048,16,2,128,m,1.982816
2048,16,2,256,c,2.37536
2048,16,2,256,m,1.983904
2048,16,4,32,c,2.122528
2048,16,4,32,m,3.60576
2048,16,4,64,c,2.0864
2048,16,4,64,m,1.970848
2048,16,4,128,c,2.060224
2048,16,4,128,m,1.288128
2048,16,4,256,c,2.067872
2048,16,4,256,m,1.301472
2048,16,8,32,c,2.322624
2048,16,8,32,m,1.97472
2048,16,8,64,c,2.104128
2048,16,8,64,m,1.279936
2048,16,8,128,c,2.398816
2048,16,8,128,m,1.131904
2048,16,8,256,c,2.665152
2048,16,8,256,m,1.538272
2048,16,16,32,c,2.119808
2048,16,16,32,m,1.257536
2048,16,16,64,c,2.4904
2048,16,16,64,m,1.153632
2048,16,16,128,c,2.699712
2048,16,16,128,m,1.427104
2048,16,16,256,c,3.019648
2048,16,16,256,m,1.238304
4096,1,1,32,c,261.508209
4096,1,1,32,m,796.425964
4096,1,1,64,c,138.252319
4096,1,1,64,m,398.130798
4096,1,1,128,c,81.340126
4096,1,1,128,m,211.859772
4096,1,1,256,c,78.581245
4096,1,1,256,m,109.742973
4096,1,2,32,c,129.328857
4096,1,2,32,m,398.271912
4096,1,2,64,c,70.338081
4096,1,2,64,m,211.821091
4096,1,2,128,c,41.094975
4096,1,2,128,m,106.42746
4096,1,2,256,c,39.350273
4096,1,2,256,m,54.461727
4096,1,4,32,c,64.991585
4096,1,4,32,m,199.217056
4096,1,4,64,c,35.931198
4096,1,4,64,m,105.498558
4096,1,4,128,c,20.695456
4096,1,4,128,m,52.952801
4096,1,4,256,c,19.737568
4096,1,4,256,m,27.362911
4096,1,8,32,c,32.569473
4096,1,8,32,m,99.82093
4096,1,8,64,c,18.738785
4096,1,8,64,m,52.489792
4096,1,8,128,c,10.559264
4096,1,8,128,m,26.484257
4096,1,8,256,c,9.987392
4096,1,8,256,m,13.8392
4096,1,16,32,c,18.810335
4096,1,16,32,m,52.206272
4096,1,16,64,c,15.186912
4096,1,16,64,m,26.352097
4096,1,16,128,c,15.249888
4096,1,16,128,m,13.739456
4096,1,16,256,c,14.446976
4096,1,16,256,m,8.112096
4096,2,1,32,c,128.296188
4096,2,1,32,m,398.201935
4096,2,1,64,c,68.964417
4096,2,1,64,m,199.127457
4096,2,1,128,c,40.809311
4096,2,1,128,m,105.212189
4096,2,1,256,c,39.354465
4096,2,1,256,m,54.762848
4096,2,2,32,c,64.620415
4096,2,2,32,m,199.170303
4096,2,2,64,c,35.535873
4096,2,2,64,m,104.885986
4096,2,2,128,c,20.662657
4096,2,2,128,m,52.693054
4096,2,2,256,c,19.733408
4096,2,2,256,m,27.408545
4096,2,4,32,c,32.503937
4096,2,4,32,m,99.733406
4096,2,4,64,c,18.847584
4096,2,4,64,m,53.107616
4096,2,4,128,c,10.597152
4096,2,4,128,m,26.494911
4096,2,4,256,c,9.987776
4096,2,4,256,m,13.880384
4096,2,8,32,c,17.895744
4096,2,8,32,m,52.075169
4096,2,8,64,c,14.260768
4096,2,8,64,m,26.477472
4096,2,8,128,c,16.321568
4096,2,8,128,m,13.73072
4096,2,8,256,c,14.77584
4096,2,8,256,m,7.683904
4096,2,16,32,c,14.087072
4096,2,16,32,m,26.399521
4096,2,16,64,c,14.959232
4096,2,16,64,m,13.779712
4096,2,16,128,c,12.697888
4096,2,16,128,m,7.559552
4096,2,16,256,c,12.899008
4096,2,16,256,m,4.97776
4096,4,1,32,c,64.342178
4096,4,1,32,m,199.057922
4096,4,1,64,c,35.169186
4096,4,1,64,m,104.893761
4096,4,1,128,c,20.583328
4096,4,1,128,m,52.526112
4096,4,1,256,c,19.72736
4096,4,1,256,m,27.601601
4096,4,2,32,c,32.330624
4096,4,2,32,m,99.672897
4096,4,2,64,c,19.052095
4096,4,2,64,m,52.880322
4096,4,2,128,c,10.496736
4096,4,2,128,m,26.559809
